Experiment,Model,Mode,Domain,Method,Seed,Batch,LR,CropRes,Device,Acc,F1,AUC,Time_Sec,Energy_kWh,Group,path,Factor,Value,Variant
no_random_erase_convnext_tiny_LOIR_Database,convnext_tiny,LOSO,LOIR_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6319,0.4292,0.9072,613.27,0.05111,ablation,ablation/no_random_erase/no_random_erase_convnext_tiny_LOIR_Database/final_metrics.csv,,,no_random_erase
no_random_erase_convnext_tiny_ADIAC_Database,convnext_tiny,LOSO,ADIAC_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.7315,0.6076,0.9331,697.33,0.05811,ablation,ablation/no_random_erase/no_random_erase_convnext_tiny_ADIAC_Database/final_metrics.csv,,,no_random_erase
no_random_erase_convnext_tiny_FCE_LTER_Database,convnext_tiny,LOSO,FCE_LTER_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6788,0.5329,0.9404,931.62,0.07763,ablation,ablation/no_random_erase/no_random_erase_convnext_tiny_FCE_LTER_Database/final_metrics.csv,,,no_random_erase
no_random_erase_convnext_tiny_AFD_Database,convnext_tiny,LOSO,AFD_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5954,0.4267,,678.69,0.05656,ablation,ablation/no_random_erase/no_random_erase_convnext_tiny_AFD_Database/final_metrics.csv,,,no_random_erase
no_random_erase_convnext_tiny_DONA_Database,convnext_tiny,LOSO,DONA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6223,0.496,0.8963,503.09,0.04192,ablation,ablation/no_random_erase/no_random_erase_convnext_tiny_DONA_Database/final_metrics.csv,,,no_random_erase
no_random_erase_convnext_tiny_DIA_Database,convnext_tiny,LOSO,DIA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5418,0.4795,,705.94,0.05883,ablation,ablation/no_random_erase/no_random_erase_convnext_tiny_DIA_Database/final_metrics.csv,,,no_random_erase
photometric_only_convnext_tiny_AFD_Database,convnext_tiny,LOSO,AFD_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5968,0.4219,,1125.66,0.0938,ablation,ablation/photometric_only/photometric_only_convnext_tiny_AFD_Database/final_metrics.csv,,,photometric_only
photometric_only_convnext_tiny_LOIR_Database,convnext_tiny,LOSO,LOIR_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.4962,0.3124,0.8579,521.36,0.04345,ablation,ablation/photometric_only/photometric_only_convnext_tiny_LOIR_Database/final_metrics.csv,,,photometric_only
photometric_only_convnext_tiny_DIA_Database,convnext_tiny,LOSO,DIA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5547,0.4882,,638.47,0.05321,ablation,ablation/photometric_only/photometric_only_convnext_tiny_DIA_Database/final_metrics.csv,,,photometric_only
photometric_only_convnext_tiny_DONA_Database,convnext_tiny,LOSO,DONA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6241,0.4706,0.8797,395.38,0.03295,ablation,ablation/photometric_only/photometric_only_convnext_tiny_DONA_Database/final_metrics.csv,,,photometric_only
photometric_only_convnext_tiny_FCE_LTER_Database,convnext_tiny,LOSO,FCE_LTER_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6592,0.5061,0.9316,715.51,0.05963,ablation,ablation/photometric_only/photometric_only_convnext_tiny_FCE_LTER_Database/final_metrics.csv,,,photometric_only
photometric_only_convnext_tiny_ADIAC_Database,convnext_tiny,LOSO,ADIAC_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.7794,0.6659,0.9202,804.14,0.06701,ablation,ablation/photometric_only/photometric_only_convnext_tiny_ADIAC_Database/final_metrics.csv,,,photometric_only
no_augmentation_convnext_tiny_LOIR_Database,convnext_tiny,LOSO,LOIR_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6302,0.4452,0.8885,885.77,0.07381,ablation,ablation/no_augmentation/no_augmentation_convnext_tiny_LOIR_Database/final_metrics.csv,,,no_augmentation
no_augmentation_convnext_tiny_ADIAC_Database,convnext_tiny,LOSO,ADIAC_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.7719,0.675,0.9517,630.2,0.05252,ablation,ablation/no_augmentation/no_augmentation_convnext_tiny_ADIAC_Database/final_metrics.csv,,,no_augmentation
no_augmentation_convnext_tiny_DIA_Database,convnext_tiny,LOSO,DIA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.5521,0.5135,,624.17,0.05201,ablation,ablation/no_augmentation/no_augmentation_convnext_tiny_DIA_Database/final_metrics.csv,,,no_augmentation
no_augmentation_convnext_tiny_DONA_Database,convnext_tiny,LOSO,DONA_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6199,0.4663,0.8958,471.65,0.0393,ablation,ablation/no_augmentation/no_augmentation_convnext_tiny_DONA_Database/final_metrics.csv,,,no_augmentation
no_augmentation_convnext_tiny_FCE_LTER_Database,convnext_tiny,LOSO,FCE_LTER_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6453,0.515,0.9476,623.46,0.05196,ablation,ablation/no_augmentation/no_augmentation_convnext_tiny_FCE_LTER_Database/final_metrics.csv,,,no_augmentation
no_augmentation_convnext_tiny_AFD_Database,convnext_tiny,LOSO,AFD_Database,erm,42,128,0.0004,224,Single-GPU (NVIDIA RTX 6000 Ada Generation),0.6155,0.394,,639.37,0.05328,ablation,ablation/no_augmentation/no_augmentation_convnext_tiny_AFD_Database/final_metrics.csv,,,no_augmentation
